user_id,full_name,date_of_birth,gender,employment_status,monthly_income,created_at
1,User 1,1977-10-31,F,salaried,13657293.0,2024-02-26 16:33:39.192866
2,User 2,1960-8-5,M,SALARIED,28252356.0,2023-12-30 16:33:39.192899
3,User 3,1978-5-26,F,EMPLOYED,20672390.0,2024-01-27 16:33:39.192921
4,User 4,1997-2-2,M,employed,-2154796.0,2024-08-18 16:33:39.192940
5,User 5,1988-10-24,M,unemployed,16994837.0,2024-12-18 16:33:39.192958
6,User 6,1960-8-19,M,EMPLOYED,16473436.0,2024-08-31 16:33:39.192976
7,User 7,1981-10-23,M,salaried,13940582.0,2024-09-03 16:33:39.192994
8,User 8,1963-5-28,F,EMPLOYED,,2024-07-07 16:33:39.193016
9,User 9,1962-2-10,F,employed,8122768.0,2024-10-27 16:33:39.193035
10,User 10,1964-11-29,F,SALARIED,8932539.0,2024-10-27 16:33:39.193052
11,User 11,1968-11-3,M,SALARIED,18519187.0,2024-07-08 16:33:39.193069
12,User 12,1972-6-25,F,UNUMEPLOYED,13627659.0,2024-05-15 16:33:39.193085
13,User 13,1983-11-7,F,unemployed,20499990.0,2024-08-06 16:33:39.193102
14,User 14,1998-2-5,M,SALARIED,18404475.0,2024-07-16 16:33:39.193119
15,User 15,1996-2-9,F,EMPLOYED,21375505.0,2024-04-04 16:33:39.193135
16,User 16,1999-5-27,F,unemployed,29960262.0,2024-06-29 16:33:39.193152
17,User 17,1976-12-15,M,EMPLOYED,26504514.0,2024-08-18 16:33:39.193168
18,User 18,1960-2-31,F,salaried,13990942.0,2024-02-13 16:33:39.193185
19,User 19,1969-5-6,F,employed,25290522.0,2024-11-16 16:33:39.193202
20,User 20,1980-1-15,M,SALARIED,,2024-10-16 16:33:39.193219
21,User 21,1973-3-25,M,SALARIED,11751103.0,2024-07-30 16:33:39.193235
22,User 22,1984-8-11,M,salaried,11062206.0,2024-04-14 16:33:39.193252
23,User 23,1963-6-12,F,UNUMEPLOYED,9224587.0,2024-08-01 16:33:39.193268
24,User 24,1975-11-28,M,employed,22858740.0,2024-05-02 16:33:39.193285
25,User 25,1999-11-30,M,UNUMEPLOYED,25166690.0,2024-08-01 16:33:39.193301
26,User 26,1977-1-9,M,UNUMEPLOYED,25859135.0,2024-10-15 16:33:39.193318
27,User 27,1976-3-1,M,EMPLOYED,-4768579.0,2024-11-08 16:33:39.193334
28,User 28,1962-9-26,F,employed,28086592.0,2024-02-13 16:33:39.193351
29,User 29,1986-8-13,F,employed,,2024-08-24 16:33:39.193368
30,User 30,1973-2-7,M,unemployed,,2024-11-06 16:33:39.193385
31,User 31,1971-11-15,F,salaried,18421819.0,2023-12-22 16:33:39.193401
32,User 32,1981-6-4,F,UNUMEPLOYED,-3071278.0,2024-04-24 16:33:39.193417
33,User 33,1969-10-3,F,salaried,22118652.0,2024-07-30 16:33:39.193433
34,User 34,1996-7-3,F,unemployed,21287408.0,2024-03-14 16:33:39.193450
35,User 35,1988-11-23,M,salaried,-4223120.0,2023-12-23 16:33:39.193466
36,User 36,1969-1-16,F,SALARIED,8626921.0,2024-02-02 16:33:39.193482
37,User 37,1984-5-18,M,UNUMEPLOYED,23499864.0,2024-07-10 16:33:39.193499
38,User 38,1973-1-7,F,SALARIED,,2024-04-14 16:33:39.193515
39,User 39,1977-9-4,F,SALARIED,16473446.0,2024-10-28 16:33:39.193531
40,User 40,1969-2-24,M,SALARIED,13101068.0,2024-03-06 16:33:39.193547
41,User 41,1986-8-8,F,UNUMEPLOYED,24705323.0,2024-09-13 16:33:39.193565
42,User 42,1966-8-26,F,UNUMEPLOYED,10739571.0,2024-01-20 16:33:39.193582
43,User 43,1976-8-29,F,UNUMEPLOYED,,2024-02-13 16:33:39.193598
44,User 44,1966-6-15,F,unemployed,11509190.0,2024-05-01 16:33:39.193623
45,User 45,1999-7-4,F,employed,,2024-08-23 16:33:39.193640
46,User 46,1977-3-23,M,salaried,28821080.0,2024-03-25 16:33:39.193656
47,User 47,1992-7-5,M,employed,18929645.0,2024-07-31 16:33:39.193672
48,User 48,1971-3-4,M,UNUMEPLOYED,13230733.0,2024-05-19 16:33:39.193688
49,User 49,1994-8-23,F,employed,,2024-03-04 16:33:39.193704
50,User 50,1995-11-19,F,salaried,28484418.0,2023-12-23 16:33:39.193719
51,User 51,1975-10-10,F,unemployed,26346965.0,2024-02-06 16:33:39.193735
52,User 52,1992-10-8,F,unemployed,,2024-03-31 16:33:39.193751
53,User 53,1962-2-20,F,UNUMEPLOYED,8469575.0,2024-06-15 16:33:39.193767
54,User 54,1964-8-15,M,UNUMEPLOYED,11642489.0,2024-11-11 16:33:39.193783
55,User 55,1982-5-27,F,EMPLOYED,,2024-06-12 16:33:39.193798
56,User 56,1975-11-30,F,employed,16013334.0,2024-01-11 16:33:39.193814
57,User 57,1960-8-27,F,EMPLOYED,13447267.0,2024-08-25 16:33:39.193829
58,User 58,1988-5-31,M,SALARIED,24851379.0,2024-03-03 16:33:39.193845
59,User 59,1987-5-14,F,employed,10244806.0,2024-04-16 16:33:39.193861
60,User 60,1969-5-18,F,SALARIED,21199541.0,2024-07-29 16:33:39.193877
61,User 61,1987-5-7,F,UNUMEPLOYED,28103168.0,2024-12-17 16:33:39.193893
62,User 62,1988-1-28,M,unemployed,21329644.0,2024-05-20 16:33:39.193908
63,User 63,1963-12-28,F,UNUMEPLOYED,13497195.0,2023-12-27 16:33:39.193924
64,User 64,1986-12-4,M,unemployed,24279006.0,2024-09-10 16:33:39.193939
65,User 65,1961-6-6,M,SALARIED,16985739.0,2024-03-06 16:33:39.193955
66,User 66,1964-10-21,M,UNUMEPLOYED,23120221.0,2024-05-30 16:33:39.193971
67,User 67,1987-10-8,F,unemployed,-6104597.0,2023-12-25 16:33:39.193987
68,User 68,1961-3-26,M,salaried,16898206.0,2024-02-22 16:33:39.194003
69,User 69,1965-6-11,M,SALARIED,,2024-03-27 16:33:39.194018
70,User 70,1973-4-20,F,salaried,17804372.0,2024-09-11 16:33:39.194034
71,User 71,1980-7-28,M,employed,23946974.0,2024-11-25 16:33:39.194049
72,User 72,1973-7-3,M,employed,,2024-01-25 16:33:39.194065
73,User 73,1991-6-29,M,unemployed,23712720.0,2024-03-16 16:33:39.194080
74,User 74,1990-6-30,M,SALARIED,-4904807.0,2024-05-09 16:33:39.194096
75,User 75,1998-11-16,F,UNUMEPLOYED,19305876.0,2024-06-30 16:33:39.194112
76,User 76,1979-3-4,F,salaried,28254902.0,2024-05-21 16:33:39.194127
77,User 77,1993-5-23,F,EMPLOYED,26682348.0,2024-06-09 16:33:39.194143
78,User 78,1973-5-23,F,UNUMEPLOYED,,2024-07-06 16:33:39.194159
